identifier,y_sim,y_exp,smiles,fold
CHEMBL412142,-8.88251,CHEMBL412142,1584.89,4
CHEMBL260135,-7.64365,CHEMBL260135,1584.89,4
CHEMBL1997349,-7.55267,CHEMBL1997349,1584.89,2
CHEMBL1976090,-6.42082,CHEMBL1976090,1584.89,2
CHEMBL86066,-7.37174,CHEMBL86066,1584.89,3
CHEMBL1988153,-8.96289,CHEMBL1988153,1584.89,0
CHEMBL1964937,-9.37759,CHEMBL1964937,1584.89,3
CHEMBL1975256,-8.9013,CHEMBL1975256,1584.89,3
CHEMBL1965495,-7.29217,CHEMBL1965495,1584.89,1
CHEMBL1997129,-9.81194,CHEMBL1997129,1584.89,1
CHEMBL5190359,-9.45706,CHEMBL5190359,1640.0,2
CHEMBL470175,-8.51631,CHEMBL470175,1652.0,3
CHEMBL385907,-9.56496,CHEMBL385907,1756.0,0
CHEMBL2064558,-9.37106,CHEMBL2064558,1800.0,3
CHEMBL5178569,-9.34729,CHEMBL5178569,1950.0,2
CHEMBL183993,-9.82474,CHEMBL183993,1990.0,0
CHEMBL226232,-8.22669,CHEMBL226232,1995.26,1
CHEMBL1993722,-11.56922,CHEMBL1993722,1995.26,2
CHEMBL1970217,-9.79444,CHEMBL1970217,1995.26,2
CHEMBL1969843,-9.14271,CHEMBL1969843,1995.26,4
CHEMBL1988537,-7.33689,CHEMBL1988537,1995.26,4
CHEMBL458997,-9.71336,CHEMBL458997,1995.26,0
CHEMBL1985654,-7.0464,CHEMBL1985654,1995.26,2
CHEMBL340921,-8.60176,CHEMBL340921,1995.26,1
CHEMBL1965131,-7.17125,CHEMBL1965131,1995.26,4
CHEMBL249697,-7.4036,CHEMBL249697,1995.26,1
CHEMBL1991180,-7.98859,CHEMBL1991180,1995.26,2
CHEMBL1973142,-6.26234,CHEMBL1973142,1995.26,1
CHEMBL1995712,-9.33247,CHEMBL1995712,1995.26,1
CHEMBL1966703,-8.3696,CHEMBL1966703,1995.26,4
CHEMBL2003817,-8.42571,CHEMBL2003817,1995.26,3
CHEMBL1982122,-9.09262,CHEMBL1982122,1995.26,1
CHEMBL2004934,-8.92076,CHEMBL2004934,1995.26,4
CHEMBL1975490,-9.52671,CHEMBL1975490,1995.26,2
CHEMBL1980497,-9.67354,CHEMBL1980497,1995.26,1
CHEMBL2064561,-9.82945,CHEMBL2064561,2000.0,2
CHEMBL396377,-7.59728,CHEMBL396377,2000.0,3
