identifier,y_sim,y_exp,smiles,fold
CHEMBL3903560,-9.57859,0.24,COCC(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1,2
CHEMBL4759492,-11.24908,0.2455,Cn1ccc2cc(ccc12)S(=O)(=O)N[C@@H]1CCN(CCCc2noc3ccccc23)C1,3
CHEMBL4747225,-12.10103,0.2455,O=S(=O)(N[C@@H]1CCN(CCCc2noc3ccccc23)C1)c1ccc2ccccc2c1,1
CHEMBL4753094,-11.64579,0.2455,O=S(=O)(N[C@H]1CCN(CCCc2noc3ccccc23)C1)c1cc2ccccc2o1,0
CHEMBL5084167,-11.71177,0.2455,Fc1ccc2c(CCCN3CCC(CS(=O)(=O)c4ccc5ccccc5c4)C3)noc2c1,3
CHEMBL507898,-9.38617,0.25,F[C@@H]1CCNC[C@H]1c1c([nH]c2cc(F)ccc12)C1CCCCC1,0
CHEMBL565322,-11.10451,0.25,Cn1nccc1-c1cc(NC(=O)Nc2cccc(c2)C(F)(F)F)ccc1OCCN1CCCCC1,1
CHEMBL252031,-10.75867,0.25,CCC(=O)NC1CCc2cc(CCN3CCN(CC3)c3nsc4ccccc34)ccc12,2
CHEMBL603061,-9.85899,0.2512,COc1ccc(NC(=O)Nc2ccc(F)c(F)c2)cc1-c1c(Cl)cnn1C,0
CHEMBL606622,-10.08406,0.2512,COc1ccc(NC(=O)Nc2ccc(F)cc2)cc1-c1c(Br)cnn1C(C)C,2
CHEMBL599225,-9.51382,0.2512,COc1ccc(NC(=O)Nc2ccc(Br)cc2)cc1-c1c(Br)cnn1C,2
CHEMBL603078,-9.61688,0.2512,COc1ccc(NC(=O)Nc2ccc(F)cc2)cc1-c1c(Br)cnn1C,0
CHEMBL599193,-9.44986,0.2512,CCOc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Br)cnn1C,3
CHEMBL602874,-9.56226,0.2512,COc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1-c1c(Br)cnn1C,0
CHEMBL571915,-10.00785,0.26,Cn1ncc(Cl)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCC1,4
CHEMBL3948056,-10.71207,0.26,Cc1ccc(cc1)S(=O)(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2nsc3ccccc23)CC1,4
CHEMBL91446,-9.08779,0.26,COC[C@@H]1CCCN1CCc1c([nH]c2ccccc12)-c1ccccc1,1
CHEMBL516,-10.04744,0.278,CN1CCC(CC1)=C1c2ccccc2C=Cc2ccccc12,0
CHEMBL371628,-11.88852,0.28,CC1CC(=O)Nc2c(CCN3CCN(CC3)c3noc4ccccc34)cc(F)cc12,0
