identifier,y_sim,y_exp,smiles,fold
CHEMBL2437015,-5.28742,610.0,CCOC(=O)N1N=C(CC1c1ccc(OC)cc1)c1ccccc1O,2
CHEMBL1806767,-6.85896,640.0,Cn1c(OCCOc2ccc(Cl)cc2)nc2n(C)c(=O)n(C)c(=O)c12,0
CHEMBL1796460,-7.08565,670.0,NC(=N)N1N=C(CC1c1ccncc1)c1ccccc1,3
CHEMBL1645556,-8.19501,684.0,CN(C)CCCOc1ccc2c(c1)[nH]c1c(C)nccc21,0
CHEMBL230864,-2.17348,700.0,CC(=O)c1ccc(cn1)-c1ccc(cc1F)N1C[C@H](Cn2ccnn2)OC1=O,0
CHEMBL140,-5.752,710.0,COc1cc(\C=C\C(=O)CC(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O,4
CHEMBL450239,-8.64588,717.0,O=C1Nc2cc(\C=C\c3ccccc3)ccc2C1=O,4
CHEMBL2437017,-4.48166,760.0,CCOC(=O)N1N=C(CC1c1ccc(Cl)cc1)c1ccccc1O,4
CHEMBL4744494,12.43646,800.0,COc1ccc(cc1)C1=NN(C(C1)c1ccccc1)C(=O)Cn1c2cc(C)ccc2oc1=O,0
CHEMBL1080035,-7.38851,805.0,NC(=S)N1N=C(CC1c1ccc(Cl)cc1)c1ccccc1,3
CHEMBL2437018,-4.21866,810.0,CCOC(=O)N1N=C(CC1c1ccccc1)c1ccccc1O,4
CHEMBL2437016,-4.60173,880.0,CCOC(=O)N1N=C(CC1c1ccc(C)cc1)c1ccccc1O,1
CHEMBL1938483,-8.14237,900.0,Clc1ccc(OCCCN2CCC=CC2)c(Cl)c1,2
CHEMBL1813519,-9.79537,940.0,O=C1NC(=O)c2cc(OCCc3ccccc3)ccc12,3
CHEMBL390465,-7.96457,950.0,CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(-c2cc(C)no2)c(F)c1,0
CHEMBL241902,-7.21415,970.0,CN(C)c1ccc(\C=N\NC(N)=S)cc1,1
CHEMBL1796456,-8.17266,980.0,COc1ccc(cc1)C1CC(=NN1C(N)=O)c1ccccc1,0
CHEMBL4746170,4.62676,985.0,COc1cccc(c1)C1CC(=NN1C(=O)Cn1c2cc(Cl)ccc2oc1=O)c1ccccc1,4
CHEMBL1645555,-7.7318,1023.8,CN(C)CCOc1ccc2c(c1)[nH]c1c(C)nccc21,4
CHEMBL1254625,-9.51229,1030.0,Clc1cccc(\C=C\C(=O)Oc2ccc3OC(=O)Cc3c2)c1,2
CHEMBL342357,-9.9853,1100.0,O=C1NC(=O)c2cc(OCc3ccccc3)ccc12,4
CHEMBL489079,-8.1948,1100.0,NC\C(CCc1ccc(F)cc1)=C\F,1
CHEMBL3986142,-5.42949,1140.0,CN(Cc1ccc(F)cc1)S(=O)(=O)c1ccc2N(CC#C)C(=O)C(=O)c2c1,3
CHEMBL1797641,-3.6567,1200.0,NC1CC1c1ccc(NC(=O)C(Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,1
CHEMBL3104337,-3.6567,1200.0,Cl.NC1CC1c1ccc(NC(=O)C(Cc2ccccc2)NC(=O)OCc2ccccc2)cc1,2
CHEMBL1642677,-9.04789,1220.0,O=C1Nc2cc(ccc2C1=O)-c1ccccc1,1
CHEMBL1642670,-10.26774,1220.0,O=C1Nc2ccc(OCc3ccccc3)cc2C1=O,1
CHEMBL1642672,-10.60911,1290.0,O=C1Nc2ccc(CCc3ccccc3)cc2C1=O,1
CHEMBL594240,-8.32144,1430.0,Cn1ccc2c(c1)nc1ccccc21,3
CHEMBL18116,-8.20294,1500.0,Cc1cccc(c1)N1CC(CO)OC1=O,4
CHEMBL1813518,-10.06726,1540.0,O=C1NC(=O)c2cc(Oc3ccccc3)ccc12,2
CHEMBL4783683,14.05527,1550.0,COc1ccc(cc1)C1=NN(C(C1)c1cccc(OC)c1OC)C(=O)Cn1c2cc(Cl)ccc2oc1=O,4
CHEMBL179190,-3.44845,1600.0,Fc1cnnn1C[C@H]1CN(C(=O)O1)c1ccc(C2=CCS(=O)(=O)CC2)c(F)c1,3
CHEMBL231058,-4.09329,1700.0,COCc1ccc(cn1)-c1ccc(cc1F)N1C[C@H](Cn2ccnn2)OC1=O,0
CHEMBL1642673,-9.59792,1830.0,O=C1Nc2cc(CCc3ccccc3)ccc2C1=O,4
CHEMBL3353566,-6.93015,1840.0,CNc1ccccc1-c1nc(cs1)C(=O)OC,1
CHEMBL371428,-8.02529,1900.0,Oc1ccc2CC[C@@H](NCC#C)c2c1,0
CHEMBL4163108,-7.90391,1950.0,COc1ccc(\C=C\C(=O)NCCc2ccccc2)cc1O,4
CHEMBL416055,-6.54064,2000.0,OC(=O)\C=C\C(O)=O.COc1cc2CCN=C(C)c2c(OC)c1OC,3
CHEMBL544004,-6.82933,2000.0,Cl.COc1cc2CCN(C)[C@H](C)c2cc1OC,1
CHEMBL1253618,-9.97109,2020.0,Clc1cccc(c1)C(=O)Oc1ccc2OC(=O)Cc2c1,3
CHEMBL1254550,-7.64463,2020.0,Cc1cc2cc(NC(=O)\C=C\c3cccc(Cl)c3)ccc2[nH]1,0
CHEMBL1796452,1.30274,2150.0,COc1ccccc1NC(=S)N1N=C(CC1c1ccc(O)cc1)c1ccccc1,0
CHEMBL3781033,-2.61201,2160.0,COc1cc(ccc1O)C1=NN(C(C1)c1ccccc1)c1ccccc1,2
CHEMBL3950869,-8.76866,2180.0,CN(Cc1ccc(F)cc1)S(=O)(=O)c1ccc2NC(=O)C(=O)c2c1,3
CHEMBL506301,-9.39882,2200.0,Fc1cccc(\C=C\c2ccc3NC(=O)C(=O)c3c2)c1,4
CHEMBL1984524,-6.04118,2300.0,CN(C)c1ccc(cc1)\N=N\c1ccccn1,2
CHEMBL3416425,-8.59954,2300.0,Cl.NC1CC1c1ccc(NC(=O)c2ccccc2)cc1,1
CHEMBL1797640,-8.59954,2300.0,NC1CC1c1ccc(NC(=O)c2ccccc2)cc1,2
CHEMBL3546846,-8.59954,2300.0,N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccccc2)cc1,1
CHEMBL3651584,-5.65659,2320.0,O=C(CN[C@H]1C[C@@H]1c1ccccc1)N1CCN(CC1)c1ccccc1,4
